Brand,Model,RAM,Memory,Battery Capacity,Item Weight,Price,Screen Size,Sales based on Ratings
Motorola,PAN00015US,4 GB,4 GB,5000,4.99 Grams,$145.10,6.8 Inches,1308
,,,,,,$109.99,,157
Samsung,A14,4 GB,128 GB,5000 Milliamp Hours,7.1 ounces,$151.99,6.6 Inches,103
TCL,,6 GB,64 GB,5000 Milliamp Hours,14.4 ounces,$149.99,6.82 Inches,1629
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
OnePlus,CPH2451,8 GB,128 GB,5000 Milliamp Hours,7.2 ounces,$599.99,6.7 Inches,774
Blackview,cell phone US unlocked Blakcview A53,4 GB,32 GB,5080 Milliamp Hours,14.9 ounces,$119.99,6.52 Inches,641
Apple,A1984,128 GB,128 GB,,1 pounds,,6 Inches,2314
Apple Computer,iPhone-8-64GB-CR,64 GB,64 GB,,0.33 ounces,,4.7 Inches,53321
Samsung Electronincs,SM-S908UZKEXAA,12 GB,256 GB,5000 Milliamp Hours,8.04 Ounces,$849.99,6.8 Inches,1574
Google,G025J,6 GB,128 GB,3140 Milliamp Hours,0.1 Kilograms,,5.8 Inches,1084
Samsung,Samsung Galaxy S20 FE 5G,8 GB,128 GB,4500 Milliamp Hours,6.7 Ounces,,6.5 Inches,819
OnePlus,CPH2459,6 GB,128 GB,4500 Milliamp Hours,1.04 Pounds,$185.43,6.43 Inches,891
Motorola,PAT40012US,4 GB,4 GB,5000 Milliamp Hours,215 Grams,$125.92,6.8 Inches,85
SUUSON,,,,,0.176 ounces,$16.99,,11119
SAMSUNG,SM-S911UZKAXAA,8 Gigabytes Per Second,128 GB,3900 Milliamp Hours,168 Grams,$799.99,6.1 Inches,194
Samsung,SM-G985F/DS,12 GB,128 GB,4500 Milliamp Hours,6.6 ounces,,6.7 Inches,4153
Samsung,SM-G970,6 GB,128 GB,3100 Milliamp Hours,7.7 ounces,,5.8 Inches,13524
Samsung,Samsung Galaxy S21+ 5G,8 GB,128 GB,4800 Milliamp Hours,7.1 ounces,,6.7 Inches,898
Samsung,SM-F707U1,8 GB,128 GB,3300 Milliamp Hours,6.5 ounces,,6.7 Inches,1044
SEAZOU,LTE-A,,,,2.88 pounds,$85.00,,
Xiaomi,12C,,128 GB,5000 Milliamp Hours,6 ounces,$107.99,6.71 Inches,72
Motorola,PAT40001US,6 GB,6 GB,5000 Milliamp Hours,216 Grams,$160.06,6.8 Inches,1992
Samsung,SM-A125UZKATMB,4 GB,32 GB,5000 Milliamp Hours,205 Grams,,6.5 Inches,1331
TCL,T608M1-2AAZUS11,6 GB,256 GB,5000 Milliamp Hours,0.18 Ounces,$169.99,6.75 Inches,373
Lintratek,,,,,6.74 pounds,$229.99,,
OnePlus,N20,6 GB,512 GB,4500 Milliamp Hours,0.176 ounces,$159.00,6.43 Inches,4
Yealink,BH71 OB,,,,0.14 Kilograms,$79.90,,59
VICSEED,,,,,10.5 ounces,$32.99,,73
MAXTOP,,,,,7.4 ounces,$28.99,,1
Lintratek,,,,,6.74 pounds,$229.99,,
Yealink,BH71 OB,,,,0.14 Kilograms,$79.90,,59
BLU,,2 GB,16 GB,2000 Milliamp Hours,6.2 ounces,$49.99,5.7 Inches,5
Alcatel,5033E,1 GB,16 GB,2000,0.1 ounces,$59.99,5 Inches,1405
GREAT CALL,4053S,16 GB,16 GB,,4.8 ounces,$49.99,5.8,2733
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
Samsung,SM-A145M/DS,4 GB,128 GB,5000 Milliamp Hours,7.1 ounces,$133.00,6.6 Inches,420
Samsung,TFSAS134DCP,3 GB,32 GB,5000,9.6 Ounces,$29.99,6.5 Inches,1185
TCL,T608M1-2AAZUS11,6 GB,256 GB,5000 Milliamp Hours,0.18 Ounces,$169.99,6.75 Inches,373
,,,,,,$269.99,,175
TCL,,3 GB,32 GB,3000 Milliamp Hours,6.1 ounces,$99.99,6 Inches,2611
SEAZOU,LTE-A,,,,2.88 pounds,$85.00,,
MAXTOP,,,,,7.4 ounces,$28.99,,1
BLU,T276T Black Blue,24 MB,32 GB,820 Milliamp Hours,3.17 ounces,$25.99,2.8 Inches,476
Samsung,SM-G991U1,8 GB,128 GB,4000 Milliamp Hours,169 Grams,,6.2 Inches,3539
Samsung Electronics,,4 GB,64 GB,5000 Milliamp Hours,0.141 ounces,$102.00,6.5 Inches,41
BLU,,2 GB,16 GB,3000 Milliamp Hours,6.2 ounces,$59.99,6.2 Inches,5
Samsung,Galaxy A13 (5G) 64GB,64 GB,64 GB,5000 Milliamp Hours,6.9 ounces,,6.5 Inches,714
Samsung,SMA536U1ZKDX,4 GB,128 GB,5000 Milliamp Hours,6.7 ounces,$420.26,6.5 Inches,4115
,,,,,,$18.99,,2542
MOTOROLA INC,XT2311DL,4 GB,128 GB,5000,12.8 ounces,$59.99,6.4 Inches,
VICSEED,,,,,10.5 ounces,$32.99,,73
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Yealink,BH71 OB,,,,0.14 Kilograms,$79.90,,59
,,,,,,$18.99,,2542
Samsung,SM-A145M/DS,4 GB,128 GB,5000 Milliamp Hours,7.1 ounces,$135.97,6.6 Inches,420
ALCATEL,T408DL,1 GB,16 GB,1850,12.8 ounces,$19.99,1.4 Inches,51
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,6 GB,64 GB,5000 Milliamp Hours,14.4 ounces,$149.99,6.82 Inches,1629
Samsung Electronics,Samsung Galaxy A42 5G,4 GB,128 GB,5000 Milliamp Hours,0.176 ounces,,6.6 Inches,267
SAMSUNG,SM-A546ULVBXAA,6 GB,128 GB,4.9,202 Grams,$449.99,6.4 Inches,240
sensyne,Y60,,,,14.1 ounces,$28.99,,2614
MOTOROLA INC,XT2311DL,4 GB,128 GB,5000,12.8 ounces,$59.99,6.4 Inches,
GREAT CALL,4053S,16 GB,16 GB,,4.8 ounces,$49.99,5.8,2733
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
"Shen Zhen Yixun Electronic Technology Co., Ltd",T300,64 MB,16 GB,1500 Milliamp Hours,4 ounces,$89.99,2.4 Inches,122
Apple Computer,A2176,,64 GB,,10.2 ounces,,5.4 Inches,7932
Motorola,TFMTXT2163DCP,3 GB,32 GB,4000,188 Grams,$39.99,6.5 Inches,2366
Apple Computer,iPhone-8-64GB-CR,64 GB,64 GB,,0.33 ounces,,4.7 Inches,53321
Samsung,TFSAS136DCP,4 GB,64 GB,5000,6.88 Ounces,$89.88,6.5 Inches,708
HeyxFome,,,16 GB,4000 Milliamp Hours,15.8 ounces,$69.99,6.5 Inches,
HMD Global Oy,TA-1338,3 GB,512 GB,5050 Milliamp Hours,6.8 Ounces,$119.50,6.52 Inches,812
Samsung,SM-A146U,4 GB,64 GB,5000,7.2 ounces,,6.6 Inches,71
BLU,,2 GB,16 GB,2000 Milliamp Hours,6.2 ounces,$49.99,5.7 Inches,5
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,6 GB,64 GB,5000 Milliamp Hours,14.4 ounces,$149.99,6.82 Inches,1629
"Dongguan Haoxun Electronic Technology Co.,Ltd",HX160Y8,,,,8 ounces,$25.95,,27080
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Sefwon,,8 GB,256 GB,6500 Milliamp Hours,15.8 ounces,$139.99,6.8 Inches,7
Motorola,PAXD0011US,6 GB,4 GB,5000,189 Grams,$199.99,6.5 Inches,59
OnePlus,N20,6 GB,512 GB,4500 Milliamp Hours,0.176 ounces,$159.00,6.43 Inches,4
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
Lively,5007SJBS3,3 GB,32 GB,3500 Milliamp Hours,1.75 ounces,$74.99,6.22 Inches,1330
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
Samsung,SM-A146U,4 GB,64 GB,5000,7.2 ounces,,6.6 Inches,71
Samsung,TFSAS136DCP,4 GB,64 GB,5000,6.88 Ounces,$89.88,6.5 Inches,708
Samsung,A10e 32GB A102U,2 GB,32 GB,3000 Milliamp Hours,0.2 Kilograms,,5.83 Inches,2995
Samsung,SMA536U1ZKDX,4 GB,128 GB,5000 Milliamp Hours,6.7 ounces,$420.26,6.5 Inches,4115
Xgody,,3 GB,32 GB,,15.5 ounces,$89.99,,10
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
Lively,5007SJBS3,3 GB,32 GB,3500 Milliamp Hours,1.75 ounces,$74.99,6.22 Inches,1330
xixaomiro,Bi1407,8 GB,512 GB,6000 Milliamp Hours,15.9 ounces,$129.00,6.8 Inches,29
SAMSUNG,SM-A146UZKDXAA,4 GB,64 GB,5000,204 Grams,$199.99,6.6 Inches,512
UMIDIGI,UMIDIGI,3 GB,32 GB,5150 Milliamp Hours,6.8 ounces,$67.99,6.52 Inches,98
SAMSUNG,TVSAS134DCP,3 GB,32 GB,5000 Milliamp Hours,12.8 Ounces,$44.99,6.51 Inches,466
,,,,,,,,
Huness,,,256 GB,6800 Milliamp Hours,14.4 ounces,$158.99,6.82 Inches,6
