Brand,Model,RAM,Memory,Battery Capacity,Item Weight,Price,Screen Size,Sales based on Ratings
motorola,pan00015us,4.0,4.0,5000.0,499.0,145.1,6.8,1308.0
unknown,unknown,8.0,128.0,5000.0,195.61,109.99,6.52,157.0
samsung,a14,4.0,128.0,5000.0,201.28,151.99,6.6,103.0
tcl,unknown,6.0,64.0,5000.0,408.23,149.99,6.82,1629.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
oneplus,cph2451,8.0,128.0,5000.0,204.12,599.99,6.7,774.0
blackview,cell phone us unlocked blakcview a53,4.0,32.0,5080.0,422.41,119.99,6.52,641.0
apple,a1984,17,128.0,5000.0,453.59,179.50015312645186,6.0,2314.0
apple,iphone-8-64gb-cr,17,64.0,5000.0,936.0,179.50015312645186,4.7,53321.0
samsung,sm-s908uzkexaa,12.0,256.0,5000.0,227.93,849.99,6.8,1574.0
google,g025j,6.0,128.0,3140.0,100.0,239.69416666666666,5.8,1084.0
samsung,samsung galaxy s20 fe 5g,8.0,128.0,4500.0,189.94,143.02190217391305,6.5,819.0
oneplus,cph2459,6.0,128.0,4500.0,471.74,185.43,6.43,891.0
motorola,pat40012us,4.0,4.0,5000.0,215.0,125.92,6.8,85.0
suuson,unknown,8.0,128.0,5000.0,499.0,16.99,6.52,11119.0
samsung,sm-s911uzkaxaa,8.0,128.0,3900.0,168.0,799.99,6.1,194.0
samsung,sm-g985f/ds,12.0,128.0,4500.0,187.11,599.99,6.7,4153.0
samsung,sm-g970,6.0,128.0,3100.0,218.29,239.69416666666666,5.8,13524.0
samsung,samsung galaxy s21+ 5g,8.0,128.0,4800.0,201.28,143.02190217391305,6.7,898.0
samsung,sm-f707u1,8.0,128.0,3300.0,184.27,143.02190217391305,6.7,1044.0
seazou,lte-a,8.0,128.0,5000.0,1306.34,85.0,6.52,140.0
xiaomi,12c,8.0,128.0,5000.0,170.1,107.99,6.71,72.0
motorola,pat40001us,6.0,6.0,5000.0,216.0,160.06,6.8,1992.0
samsung,sm-a125uzkatmb,4.0,32.0,5000.0,205.0,119.99,6.5,1331.0
tcl,t608m1-2aazus11,6.0,256.0,5000.0,509.99999999999994,169.99,6.75,373.0
lintratek,unknown,8.0,128.0,5000.0,3057.21,229.99,6.52,140.0
oneplus,n20,6.0,512.0,4500.0,499.0,159.0,6.43,4.0
yealink,bh71 ob,8.0,128.0,5000.0,140.0,79.9,6.52,59.0
vicseed,unknown,8.0,128.0,5000.0,297.67,32.99,6.52,73.0
maxtop,unknown,8.0,128.0,5000.0,209.79,28.99,6.52,1.0
lintratek,unknown,8.0,128.0,5000.0,3057.21,229.99,6.52,140.0
yealink,bh71 ob,8.0,128.0,5000.0,140.0,79.9,6.52,59.0
blu,unknown,2.0,16.0,2000.0,175.77,49.99,5.7,5.0
alcatel,5033e,1.0,16.0,2000.0,283.0,59.99,5.0,1405.0
great call,4053s,16.0,16.0,5000.0,136.08,49.99,5.8,2733.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
doogee,n50,15.0,15.0,4200.0,198.45,129.99,6.52,802.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
samsung,a54,8.0,256.0,5000.0,301.0,367.45,6.4,22.0
samsung,sm-a145m/ds,4.0,128.0,5000.0,201.28,133.0,6.6,420.0
samsung,tfsas134dcp,3.0,32.0,5000.0,272.16,29.99,6.5,1185.0
tcl,t608m1-2aazus11,6.0,256.0,5000.0,509.99999999999994,169.99,6.75,373.0
unknown,unknown,8.0,128.0,5000.0,195.61,269.99,6.52,175.0
tcl,unknown,3.0,32.0,3000.0,172.93,99.99,6.0,2611.0
seazou,lte-a,8.0,128.0,5000.0,1306.34,85.0,6.52,140.0
maxtop,unknown,8.0,128.0,5000.0,209.79,28.99,6.52,1.0
blu,t276t black blue,0,32.0,820.0,898.7,25.99,2.8,476.0
samsung,sm-g991u1,8.0,128.0,4000.0,169.0,143.02190217391305,6.2,3539.0
samsung,unknown,4.0,64.0,5000.0,400.0,102.0,6.5,41.0
blu,unknown,2.0,16.0,3000.0,175.77,59.99,6.2,5.0
samsung,galaxy a13 (5g) 64gb,17,64.0,5000.0,195.61,179.50015312645186,6.5,714.0
samsung,sma536u1zkdx,4.0,128.0,5000.0,189.94,420.26,6.5,4115.0
unknown,unknown,8.0,128.0,5000.0,195.61,18.99,6.52,2542.0
motorola,xt2311dl,4.0,128.0,5000.0,362.87,59.99,6.4,140.0
vicseed,unknown,8.0,128.0,5000.0,297.67,32.99,6.52,73.0
umidigi,a15c,8.0,128.0,5000.0,195.61,149.99,6.7,48.0
tcl,unknown,4.0,128.0,5000.0,195.04,139.99,6.75,313.0
yealink,bh71 ob,8.0,128.0,5000.0,140.0,79.9,6.52,59.0
unknown,unknown,8.0,128.0,5000.0,195.61,18.99,6.52,2542.0
samsung,sm-a145m/ds,4.0,128.0,5000.0,201.28,135.97,6.6,420.0
